,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016
118,Mauritania,Sub-Saharan Africa,4.436,0.45407,4.2010000000000005,0.6139100000000001
119,Kenya,Sub-Saharan Africa,4.419,0.36471,4.356,0.52267
120,Armenia,Central and Eastern Europe,4.35,0.7682100000000001,4.36,0.8608600000000001
121,Botswana,Sub-Saharan Africa,4.332,0.99355,3.9739999999999998,1.09426
122,Myanmar,Southeastern Asia,4.3069999999999995,0.27108000000000004,4.395,0.34112
123,Georgia,Central and Eastern Europe,4.297,0.7419,4.252,0.8379200000000001
124,Malawi,Sub-Saharan Africa,4.292,0.016040000000000002,4.156000000000001,0.08709
125,Sri Lanka,Southern Asia,4.271,0.83524,4.415,0.9731799999999999
126,Cameroon,Sub-Saharan Africa,4.252,0.4225,4.513,0.5249699999999999
127,Bulgaria,Central and Eastern Europe,4.218,1.01216,4.217,1.11306
128,Egypt,Middle East and Northern Africa,4.194,0.8818,4.362,0.95395
129,Yemen,Middle East and Northern Africa,4.077,0.5464899999999999,3.7239999999999998,0.57939
130,Angola,Sub-Saharan Africa,4.033,0.75778,3.866,0.84731
131,Mali,Sub-Saharan Africa,3.995,0.26074,4.073,0.31292
132,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,4.236000000000001,0.7710899999999999
133,Comoros,Sub-Saharan Africa,3.9560000000000004,0.23906,3.9560000000000004,0.27509
134,Uganda,Sub-Saharan Africa,3.931,0.21101999999999999,3.739,0.34719
135,Senegal,Sub-Saharan Africa,3.904,0.36498,4.218999999999999,0.44314
136,Gabon,Sub-Saharan Africa,3.8960000000000004,1.06024,4.121,1.15851
137,Niger,Sub-Saharan Africa,3.845,0.0694,3.8560000000000003,0.1327
138,Cambodia,Southeastern Asia,3.819,0.46038,3.907,0.55604
139,Tanzania,Sub-Saharan Africa,3.781,0.2852,3.6660000000000004,0.47155
140,Madagascar,Sub-Saharan Africa,3.681,0.20824,3.695,0.27954
141,Chad,Sub-Saharan Africa,3.667,0.34193,3.763,0.42213999999999996
142,Guinea,Sub-Saharan Africa,3.656,0.17417,3.6069999999999998,0.22415
143,Ivory Coast,Sub-Saharan Africa,3.655,0.46534,3.9160000000000004,0.55507
144,Burkina Faso,Sub-Saharan Africa,3.5869999999999997,0.25811999999999996,3.739,0.31995
145,Afghanistan,Southern Asia,3.575,0.31982,3.36,0.38227
146,Rwanda,Sub-Saharan Africa,3.465,0.22208000000000003,3.515,0.32846
147,Benin,Sub-Saharan Africa,3.34,0.28665,3.484,0.39499
148,Syria,Middle East and Northern Africa,3.0060000000000002,0.6632,3.069,0.7471899999999999
149,Burundi,Sub-Saharan Africa,2.905,0.0153,2.905,0.06831
150,Togo,Sub-Saharan Africa,2.839,0.20868,3.303,0.28123000000000004
