Happiness Rank,Country,Region,Average Happiness,Average GDP (per capita),Average Health (Life Expectancy),Avg Med Expense (%GDP),Number of physicians,Number of nurses and midwives,Number of community health workers,Number of hospital beds
82,Montenegro,Central and Eastern Europe,5.19666666285197,1.0579630119832366,0.6760015578397117,6.270536784545455,2.343,5.74,0.0,0.0
84,China,Eastern Asia,5.219333254496257,0.9996952635192867,0.7645351668802897,4.575160931818181,1.8119999999999998,2.342,0.0,0.0
85,Zambia,Sub-Saharan Africa,4.812666646321613,0.5729355930964153,0.2642686316076914,5.251114639090909,0.091,0.8859999999999999,0.0,0.0
86,Romania,Central and Eastern Europe,5.492333269755046,1.1436113037745166,0.710026104106903,5.13370160909091,0.0,0.0,0.0,0.0
87,Serbia,Central and Eastern Europe,5.231666660308837,1.0080725264231367,0.68164822376887,9.690442743636362,0.0,4.718999999999999,0.0,0.0
88,Portugal,Western Europe,5.140000057220459,1.2503850982920335,0.821554513874054,9.33181684,0.0,0.0,0.0,0.0
89,Latvia,Central and Eastern Europe,5.5026666348775235,1.1972495416005466,0.6674856569417317,8.109022181818183,3.2089999999999996,4.9030000000000005,0.0,0.0
90,Philippines,Southeastern Asia,5.260666609446207,0.7917297384707133,0.5065030182202658,4.191549464545455,0.0,0.24,0.0,0.0
91,Somaliland region,Sub-Saharan Africa,5.0569999999999995,0.18847,0.43873,,,,,
92,Morocco,Middle East and Northern Africa,5.1330000445048,0.8178281937026975,0.6006535563468933,5.496363316363636,0.0,0.0,0.0,0.0
93,Macedonia,Central and Eastern Europe,5.101000063578287,1.0007959790420535,0.6759260614967347,,,,,
94,Mozambique,Sub-Saharan Africa,4.76050009536743,0.158692824997902,0.098982217698097,5.262712712727273,0.0,0.0,0.0,0.0
95,Albania,Central and Eastern Europe,4.752666684468587,0.943387584438324,0.7581599155489603,5.976752557272727,0.0,0.0,0.0,0.0
96,Bosnia and Herzegovina,Central and Eastern Europe,5.098000053405762,0.9161564725430806,0.7345521024767557,9.341172634545453,0.0,0.0,0.0,0.0
97,Lesotho,Sub-Saharan Africa,4.35300004386902,0.4482356234550475,0.038060000000000004,7.277767031818183,0.0,0.0,0.0,0.0
98,Dominican Republic,Latin America and Caribbean,5.09000000635783,1.00087127883911,0.6066045818138123,5.309907512727272,0.0,0.0,0.0,0.0
99,Laos,Southeastern Asia,4.876,0.63554,0.46599999999999997,,,,,
100,Mongolia,Eastern Asia,4.911999974568683,0.9479852885309866,0.5717178281529743,3.9490877427272726,3.262,0.0,0.0,0.0
101,Swaziland,Sub-Saharan Africa,4.867,0.71206,0.07566,,,,,
102,Greece,Western Europe,5.039000078837077,1.23080249370575,0.8308729676946003,8.906414064545457,0.0,3.407,0.0,4.3
103,Lebanon,Middle East and Northern Africa,5.06433330154419,1.0744358435694368,0.7787536922073364,7.807988447272728,0.0,0.0,0.0,0.0
104,Hungary,Central and Eastern Europe,5.0896666272481275,1.2161239780934665,0.7076311508433023,7.440330808181818,3.093,6.632999999999999,0.0,0.0
105,Honduras,Latin America and Caribbean,4.946666744232178,0.6733943725776673,0.6204998266474407,7.904384204545455,0.0,0.0,0.0,0.0
106,Tajikistan,Central and Eastern Europe,4.940999963124593,0.4678445451482136,0.544738374862671,5.936423776363637,0.0,0.0,0.0,0.0
107,Tunisia,Middle East and Northern Africa,4.862999942779539,0.9552119353993733,0.648970683002472,6.0551788072727275,1.2890000000000001,5.295,0.0,2.3
108,Palestinian Territories,Middle East and Northern Africa,4.748000031789143,0.6617197425079347,0.598085657863617,,,,,
109,Bangladesh,Southern Asia,4.648333267211913,0.5086609917640686,0.554923677851359,2.641372169090909,0.47200000000000003,0.267,0.0,0.8
110,Iran,Middle East and Northern Africa,4.73033330408732,1.0944177023188268,0.6599010628445944,,,,,
111,Ukraine,Central and Eastern Europe,4.3670000648498535,0.85553064980189,0.6120279840405783,6.211087155454544,0.0,0.0,0.0,0.0
112,Iraq,Middle East and Northern Africa,4.583000072479247,1.0543134951527902,0.5381034899965923,3.1423104445454544,0.0,0.0,0.0,0.0
113,South Africa,Sub-Saharan Africa,4.643333332061766,0.9997829018910732,0.2166900234587987,7.263412494545455,1.585,11.591999999999999,0.0,0.0
114,Ghana,Sub-Saharan Africa,4.342999961853026,0.614624941476186,0.3312559089279173,6.078881492727273,0.0,0.0,0.0,0.0
115,Zimbabwe,Sub-Saharan Africa,4.226,0.3324188449891407,0.23033791796366365,,0.0,0.0,0.0,0.0
116,Liberia,Sub-Saharan Africa,3.908666664123537,0.09910059768279399,0.26785939893245697,10.60871572909091,0.0,0.0,0.0,0.0
117,India,Southern Asia,4.428000019073487,0.7258570827166241,0.47387587227821365,3.550617705454546,0.758,2.094,0.581,0.0
118,Sudan,Sub-Saharan Africa,4.275999979654947,0.6037588973871867,0.3190969412708284,5.554687509090909,0.0,0.0,0.0,0.0
119,Haiti,Latin America and Caribbean,4.049666641871133,0.32543675429026303,0.31357704334576936,7.851963886363637,0.0,0.0,0.0,0.0
120,Congo (Kinshasa),Sub-Saharan Africa,4.35633340326945,0.049570782934824635,0.15915567495346064,,,,,
121,Nepal,Southern Asia,4.756333297729493,0.428683397286733,0.5245335935656229,4.946700054545454,0.0,0.0,0.0,0.0
122,Ethiopia,Sub-Saharan Africa,4.493333346048989,0.2742646151574453,0.37991323584874465,4.4332628672727274,0.0,0.0,0.0,0.3
123,Sierra Leone,Sub-Saharan Africa,4.617000036875407,0.3545036429055533,0.0018549179658293735,11.376105116363636,0.0,0.0,0.0,0.0
124,Mauritania,Sub-Saharan Africa,4.30966660563151,0.5721457629140216,0.31015975988070166,3.7736623990909095,0.0,0.0,0.0,0.0
125,Kenya,Sub-Saharan Africa,4.442666657765706,0.4826198207155863,0.34193611655871065,5.3519102345454534,0.0,0.0,0.0,0.0
126,Djibouti,Sub-Saharan Africa,4.369,0.44025,0.36291,4.499741782727273,0.0,0.0,0.0,0.0
127,Armenia,Central and Eastern Europe,4.36199997584025,0.8432222459538776,0.6694181419944764,6.209980528181817,0.0,0.0,0.0,4.2
128,Botswana,Sub-Saharan Africa,4.02400001080831,1.0699680514526368,0.24567850312550868,5.724556244545455,0.0,0.0,0.0,0.0
129,Myanmar,Southeastern Asia,4.415666692097982,0.32643685013453166,0.42626085623423265,2.3956755727272725,0.0,0.0,0.0,0.0
130,Georgia,Central and Eastern Europe,4.278333258310954,0.8434775547409057,0.6730523269526163,8.489468708181816,0.0,0.0,0.0,0.0
131,Malawi,Sub-Saharan Africa,4.139333342870077,0.11219067943255101,0.2781165277989707,8.30352452909091,0.0,0.0,0.0,0.0
132,Sri Lanka,Southern Asia,4.37533335240682,0.9394233814620966,0.651086944065094,3.226202799090909,0.8809999999999999,2.7939999999999996,0.0,0.0
133,Cameroon,Sub-Saharan Africa,4.486666723887127,0.5039251216952007,0.164630705634753,4.724482605454545,0.0,0.0,0.0,0.0
134,Bulgaria,Central and Eastern Europe,4.383000075022379,1.0955596961085,0.7175892268180847,7.18049453909091,0.0,0.0,0.0,0.0
135,Egypt,Middle East and Northern Africa,4.430333377838134,0.9418172691663106,0.552822419573466,,,,,
136,Yemen,Middle East and Northern Africa,3.7979999783833835,0.5725211491203307,0.3404003052298226,,,,,
137,Angola,Sub-Saharan Africa,3.898000025431317,0.8211727267392477,0.08886955521186195,3.1697292245454545,0.0,0.0,0.0,0.0
138,Mali,Sub-Saharan Africa,4.086000019073487,0.34994683127721166,0.17955522475242602,4.994479624545455,0.0,0.0,0.0,0.0
139,Congo (Brazzaville),Sub-Saharan Africa,4.171999963124594,0.7529047508239747,0.2941958113129933,,,,,
140,Comoros,Sub-Saharan Africa,3.9560000000000004,0.257075,0.33148,8.901890081818182,0.0,0.0,0.0,0.0
141,Uganda,Sub-Saharan Africa,3.9169999504089366,0.31321357177416503,0.2508308688751857,9.025040269090908,0.09300000000000001,0.648,0.0,0.0
142,Senegal,Sub-Saharan Africa,4.2193332824707035,0.42914300747553497,0.4164442841911316,4.118164,0.068,0.309,0.0,0.0
