,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016,2015 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2016 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2015 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2016 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2015 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2016 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2015 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,2016 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$
74,Latvia,Central and Eastern Europe,5.098,1.11312,5.56,1.2178799999999999,3,3.0,795,868,599,721,586,708
75,Philippines,Southeastern Asia,5.073,0.70532,5.279,0.81217,1,1.0,100,108,212,227,173,185
76,Morocco,Middle East and Northern Africa,5.013,0.7347899999999999,5.151,0.8405799999999999,2,3.0,188,218,239,244,222,226
77,Albania,Central and Eastern Europe,4.959,0.8786700000000001,4.655,0.9553,3,3.0,323,314,430,440,430,440
78,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.8322299999999999,5.162999999999999,0.9338299999999999,7,7.0,763,795,314,326,310,322
79,Dominican Republic,Latin America and Caribbean,4.885,0.8953700000000001,5.155,1.02787,2,3.0,352,428,503,503,369,418
80,Mongolia,Eastern Asia,4.874,0.82819,4.907,0.9885299999999999,2,2.0,248,265,202,184,184,167
81,Greece,Western Europe,4.857,1.15406,5.033,1.24886,5,5.0,"1,258","1,374",887,882,788,777
82,Lebanon,Middle East and Northern Africa,4.8389999999999995,1.0256399999999999,5.129,1.12268,4,4.0,548,598,549,540,375,369
83,Hungary,Central and Eastern Europe,4.8,1.12094,5.145,1.24142,5,5.0,"1,236","1,293",624,670,537,583
84,Honduras,Latin America and Caribbean,4.788,0.59532,4.871,0.69429,3,4.0,137,184,197,204,175,180
85,Tajikistan,Central and Eastern Europe,4.7860000000000005,0.39047,4.996,0.48835,2,2.0,54,60,122,138,122,138
86,Tunisia,Middle East and Northern Africa,4.739,0.88113,5.045,0.97724,4,4.0,457,457,344,349,317,322
87,Bangladesh,Southern Asia,4.694,0.39753,4.643,0.54177,0,0.0,16,16,65,67,63,65
88,Iran,Middle East and Northern Africa,4.686,1.0088,4.813,1.11758,4,4.0,692,853,637,711,544,607
89,Ukraine,Central and Eastern Europe,4.681,0.79907,4.324,0.87287,3,3.0,218,227,302,303,286,290
91,South Africa,Sub-Saharan Africa,4.6419999999999995,0.9204899999999999,4.459,1.02416,4,4.0,578,576,475,474,83,83
92,Ghana,Sub-Saharan Africa,4.633,0.5455800000000001,4.276,0.63107,2,2.0,88,73,101,93,90,72
93,Zimbabwe,Sub-Saharan Africa,4.61,0.271,4.1930000000000005,0.35041,4,4.0,80,86,63,52,48,39
94,Liberia,Sub-Saharan Africa,4.571000000000001,0.0712,3.622,0.10705999999999999,1,1.0,14,19,72,74,62,63
95,India,Southern Asia,4.565,0.64499,4.404,0.74036,1,1.0,57,61,163,178,143,156
96,Sudan,Sub-Saharan Africa,4.55,0.52107,4.138999999999999,0.63069,2,1.0,90,58,193,233,182,220
97,Haiti,Latin America and Caribbean,4.518,0.26673,4.0280000000000005,0.34097,1,1.0,15,15,44,44,39,40
98,Nepal,Southern Asia,4.513999999999999,0.35996999999999996,4.793,0.44626000000000005,1,1.0,25,29,106,109,91,86
99,Ethiopia,Sub-Saharan Africa,4.512,0.19072999999999998,4.508,0.29283000000000003,1,1.0,17,19,38,40,25,26
100,Sierra Leone,Sub-Saharan Africa,4.507,0.33024000000000003,4.635,0.36485,2,2.0,23,27,120,117,105,101
101,Mauritania,Sub-Saharan Africa,4.436,0.45407,4.2010000000000005,0.6139100000000001,2,2.0,69,60,93,90,85,83
102,Kenya,Sub-Saharan Africa,4.419,0.36471,4.356,0.52267,2,2.0,52,52,65,64,43,40
103,Armenia,Central and Eastern Europe,4.35,0.7682100000000001,4.36,0.8608600000000001,2,2.0,141,144,733,718,721,707
104,Botswana,Sub-Saharan Africa,4.332,0.99355,3.9739999999999998,1.09426,3,3.0,538,521,357,348,51,49
105,Myanmar,Southeastern Asia,4.3069999999999995,0.27108000000000004,4.395,0.34112,1,1.0,61,58,197,215,197,215
106,Georgia,Central and Eastern Europe,4.297,0.7419,4.252,0.8379200000000001,3,3.0,255,291,444,488,411,443
107,Malawi,Sub-Saharan Africa,4.292,0.016040000000000002,4.156000000000001,0.08709,3,3.0,31,32,19,21,12,13
108,Sri Lanka,Southern Asia,4.271,0.83524,4.415,0.9731799999999999,2,2.0,204,212,254,274,227,246
109,Cameroon,Sub-Saharan Africa,4.252,0.4225,4.513,0.5249699999999999,1,1.0,24,23,128,131,115,118
110,Bulgaria,Central and Eastern Europe,4.218,1.01216,4.217,1.11306,4,4.0,753,798,728,780,706,757
111,Egypt,Middle East and Northern Africa,4.194,0.8818,4.362,0.95395,2,1.0,176,151,346,360,308,320
113,Angola,Sub-Saharan Africa,4.033,0.75778,3.866,0.84731,1,1.0,93,82,98,97,66,65
114,Mali,Sub-Saharan Africa,3.995,0.26074,4.073,0.31292,1,1.0,19,25,31,29,29,29
115,Comoros,Sub-Saharan Africa,3.9560000000000004,0.23906,3.9560000000000004,0.27509,1,1.0,16,17,92,87,91,85
116,Uganda,Sub-Saharan Africa,3.931,0.21101999999999999,3.739,0.34719,1,1.0,19,19,52,50,49,47
117,Senegal,Sub-Saharan Africa,3.904,0.36498,4.218999999999999,0.44314,2,2.0,42,48,87,87,73,73
118,Gabon,Sub-Saharan Africa,3.8960000000000004,1.06024,4.121,1.15851,2,2.0,283,359,193,192,124,125
119,Niger,Sub-Saharan Africa,3.845,0.0694,3.8560000000000003,0.1327,1,2.0,14,15,44,39,36,36
120,Cambodia,Southeastern Asia,3.819,0.46038,3.907,0.55604,1,1.0,47,50,126,135,124,134
121,Madagascar,Sub-Saharan Africa,3.681,0.20824,3.695,0.27954,2,3.0,35,43,26,25,20,20
122,Chad,Sub-Saharan Africa,3.667,0.34193,3.763,0.42213999999999996,1,1.0,23,18,61,63,56,58
123,Guinea,Sub-Saharan Africa,3.656,0.17417,3.6069999999999998,0.22415,0,1.0,8,13,75,65,54,54
124,Burkina Faso,Sub-Saharan Africa,3.5869999999999997,0.25811999999999996,3.739,0.31995,2,3.0,28,46,42,42,36,36
125,Afghanistan,Southern Asia,3.575,0.31982,3.36,0.38227,1,1.0,10,8,144,126,144,126
126,Rwanda,Sub-Saharan Africa,3.465,0.22208000000000003,3.515,0.32846,2,2.0,40,44,20,20,9,8
127,Benin,Sub-Saharan Africa,3.34,0.28665,3.484,0.39499,1,1.0,17,17,39,41,34,36
128,Burundi,Sub-Saharan Africa,2.905,0.0153,2.905,0.06831,2,2.0,20,15,27,27,16,15
129,Togo,Sub-Saharan Africa,2.839,0.20868,3.303,0.28123000000000004,1,1.0,19,20,58,59,50,50
